Ind.ID,Survey.Date,Project,Species,Sex,Bd.presence
43103052,5/14/13,CA,Rana muscosa,Female,negative
43103052,6/17/10,CA,Rana muscosa,Female,Negative
43103052,5/15/12,CA,Rana muscosa,Female,Negative
43103052,7/3/12,CA,Rana muscosa,Female,Negative
43105373,12/7/09,CA,Rana draytonii,Female,Positive
43105373,12/16/09,CA,Rana draytonii,Female,Positive
43106331,6/28/11,CA,Rana muscosa,Female,Negative
43106331,6/7/10,CA,Rana muscosa,Female,Negative
43106331,7/3/12,CA,Rana muscosa,Female,Negative
43106349,9/19/11,CA,Rana muscosa,Female,Negative
43106349,8/28/12,CA,Rana muscosa,Female,Negative
43106351,10/22/09,CA,Rana draytonii,Male,Positive
43107356,10/22/09,CA,Rana draytonii,Male,Negative
43111309,8/17/10,CA,Rana draytonii,Female,Negative
43120562,5/10/10,CA,Rana draytonii,Female,Positive
43120562,12/16/09,CA,Rana draytonii,Female,Positive
43125562,5/10/10,CA,Rana draytonii,Female,Positive
43125562,10/22/09,CA,Rana draytonii,Female,Negative
43125894,9/17/10,CA,Rana muscosa,Female,Negative
43125894,6/5/12,CA,Rana muscosa,Female,Negative
43125894,8/6/10,CA,Rana muscosa,Female,Negative
43126069,12/7/09,CA,Rana draytonii,Female,Positive
43126069,12/16/09,CA,Rana draytonii,Female,Positive
43126069,10/22/09,CA,Rana draytonii,Female,Positive
43256359,6/17/10,CA,Rana muscosa,Male,Negative
43257540,12/16/09,CA,Rana draytonii,Male,Positive
43258845,5/10/10,CA,Rana draytonii,Female,Negative
43259369,10/22/09,CA,Rana draytonii,Female,Negative
43260057,8/18/10,CA,Rana draytonii,Female,Negative
43263854,12/16/09,CA,Rana draytonii,Male,Positive
43264587,12/16/09,CA,Rana draytonii,Male,Positive
43266525,12/7/09,CA,Rana draytonii,Female,Positive
43266525,12/16/09,CA,Rana draytonii,Female,Positive
43266525,10/22/09,CA,Rana draytonii,Female,Negative
43268033,5/10/10,CA,Rana draytonii,Male,Positive
43268795,12/16/09,CA,Rana draytonii,Male,Positive
43269625,9/11/13,CA,Rana muscosa,Female,Negative
43269625,6/29/10,CA,Rana muscosa,Female,Negative
43269625,6/15/12,CA,Rana muscosa,Female,Negative
43269864,6/29/10,CA,Rana muscosa,Male,Negative
43273262,5/21/13,CA,Rana muscosa,Female,Negative
43273262,8/28/12,CA,Rana muscosa,Female,Negative
43273262,9/19/11,CA,Rana muscosa,Female,Negative
43273262,8/6/10,CA,Rana muscosa,Female,Negative
43274111,10/22/09,CA,Rana draytonii,NA,Positive
43276890,5/10/10,CA,Rana draytonii,Female,Positive
43278876,5/10/10,CA,Rana draytonii,Male,Negative
43278876,12/16/09,CA,Rana draytonii,Male,Negative
43279314,8/6/10,CA,Rana muscosa,Male,Negative
43279581,8/18/10,CA,Rana draytonii,Female,Negative
44019859,9/15/16,CA,Rana muscosa,Female,Negative
44019859,9/15/16,CA,Rana muscosa,Female,Negative
44020319,7/6/16,CA,Rana muscosa,Male,Positive
44020319,7/6/16,CA,Rana muscosa,Male,Positive
44021087,10/2/14,CA,Rana draytonii,Female,Negative
44022597,9/18/14,CA,Rana draytonii,Female,Positive
44023347,9/25/14,CA,Rana draytonii,Male,Negative
44023834,9/15/16,CA,Rana muscosa,Male,Negative
44023834,9/15/16,CA,Rana muscosa,Male,Negative
44024383,8/19/14,CA,Rana muscosa,Male,Negative
44024775,10/2/14,CA,Rana draytonii,Female,Negative
44025812,10/2/14,CA,Rana draytonii,Female,Negative
44026549,9/25/14,CA,Rana draytonii,Female,Negative
44027035,8/22/14,CA,Rana muscosa,Male,Positive
44027105,9/18/14,CA,Rana draytonii,Female,Negative
44027576,6/3/14,CA,Rana muscosa,Male,Negative
44027803,9/25/14,CA,Rana draytonii,Female,Negative
44027845,10/2/14,CA,Rana draytonii,Female,Negative
44033016,8/21/14,CA,Rana muscosa,Male,Negative
44033299,7/12/16,CA,Rana muscosa,Female,Negative
44033299,7/12/16,CA,Rana muscosa,Female,Negative
44033634,9/25/14,CA,Rana draytonii,Male,Negative
44033818,9/25/14,CA,Rana draytonii,Female,Negative
44034030,7/8/14,CA,Rana muscosa,Female,Negative
44035772,9/25/14,CA,Rana draytonii,Male,Negative
44036789,7/12/16,CA,Rana muscosa,Female,Negative
44036789,7/12/16,CA,Rana muscosa,Female,Negative
44036812,10/2/14,CA,Rana draytonii,Male,Negative
44037032,6/5/14,CA,Rana muscosa,Female,Negative
44038771,9/18/14,CA,Rana draytonii,Male,Negative
44038807,8/22/14,CA,Rana muscosa,Male,Negative
44038856,7/12/16,CA,Rana muscosa,Male,Negative
44038856,7/12/16,CA,Rana muscosa,Male,Negative
44039535,7/28/14,CA,Rana muscosa,Female,Positive
44042012,9/15/16,CA,Rana muscosa,Male,Negative
44042012,9/15/16,CA,Rana muscosa,Male,Negative
44043015,9/18/14,CA,Rana draytonii,Male,Positive
44047805,8/22/14,CA,Rana muscosa,Female,Positive
44048002,9/25/14,CA,Rana draytonii,Female,Negative
44048315,9/18/14,CA,Rana draytonii,Female,Positive
44051370,6/30/14,CA,Rana muscosa,Female,Negative
44051370,8/21/14,CA,Rana muscosa,Female,Negative
44051370,8/18/16,CA,Rana muscosa,Female,Negative
44051370,8/18/16,CA,Rana muscosa,Female,Negative
44052347,9/18/14,CA,Rana draytonii,Female,Positive
44052516,7/12/16,CA,Rana muscosa,Female,Negative
44052516,7/12/16,CA,Rana muscosa,Female,Negative
44053055,8/15/14,CA,Rana muscosa,Female,Negative
44054371,5/16/14,CA,Rana muscosa,Female,Negative
44058794,2/4/14,CA,Rana draytonii,Male,Positive
44060778,9/18/14,CA,Rana draytonii,Female,Negative
44061071,9/15/16,CA,Rana muscosa,Female,Negative
44061086,9/18/14,CA,Rana draytonii,Female,Positive
44062822,9/18/14,CA,Rana draytonii,Male,Positive
44063548,8/22/14,CA,Rana muscosa,Female,Positive
44064095,7/12/16,CA,Rana muscosa,Female,Negative
44064095,7/12/16,CA,Rana muscosa,Female,Negative
44066021,9/25/14,CA,Rana draytonii,Female,Negative
44066799,8/21/14,CA,Rana muscosa,Female,Negative
44067042,9/25/14,CA,Rana draytonii,Female,Negative
44068793,8/21/14,CA,Rana muscosa,Male,Negative
44069337,8/21/14,CA,Rana muscosa,Female,Negative
44069337,8/18/16,CA,Rana muscosa,Female,Negative
